date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:20	950/950	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Nov%202022%2015:51:46%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/images/accordion-plus.png	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/images/accordion-plus.png	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/style.css)
13:23:20	1689893/1689893	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Nov%202022%2016:01:13%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/images/bg.png	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/images/bg.png	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/style.css)
13:23:21	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Fri,%2028%20May%202021%2012:37:54%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/images/statistic-bg.jpg	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/images/statistic-bg.38.delayed	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/style.css)
13:23:26	99116/99116	---M--	200	added ('OK')	font/woff2	date:Sat,%2026%20Nov%202022%2015:51:46%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.woff2	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.woff2	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:27	333798/333798	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Nov%202022%2015:51:43%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.eot?	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppinsd41d.eot	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:28	136100/136100	---M--	200	added ('OK')	font/woff	date:Sat,%2026%20Nov%202022%2015:51:45%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.woff	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.woff	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:32	333500/333500	---M--	200	added ('OK')	font/ttf	date:Sat,%2026%20Nov%202022%2015:51:44%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.ttf	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.ttf	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:33	333798/333798	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Nov%202022%2015:51:43%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.eot	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.eot	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:33	372670/372670	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2026%20Nov%202022%2015:51:44%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.svg	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins.svg	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:34	327394/327394	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Nov%202022%2015:51:38%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Medium.eot	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Medium.eot	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:36	102176/102176	---M--	200	added ('OK')	font/woff2	date:Sat,%2026%20Nov%202022%2015:51:39%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Medium.woff2	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Medium.woff2	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
13:23:38	327394/327394	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Nov%202022%2015:51:38%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Medium.eot?	C:/Users/UASER/Documents/GitHub/resturant/resupdate/kalanidhithemes.com/live-preview/landing-page/delici/fonts/poppins/hinted-Poppins-Mediumd41d.eot	(from https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css)
